text,task,time,date
Schedule a team meeting for June 21 at 6:00pm,Schedule a team meeting,6:00pm,June 21
I need to review my applications at 7:00pm,I need to review,7:00pm,
Submit the quarterly report by 12:45pm,Submit the quarterly report,12:45pm,
Prepare slides for the presentation on June 1,Prepare slides for the,,June 1
Finish the budget review before 6:15am,Finish the budget review,6:15am,
Set up a one-on-one on June 11 at 7:00am,Set up a one-on-one,7:00am,June 11
Prepare slides for the presentation on May 31,Prepare slides for the,,May 31
Meet with HR at 2:00pm,Meet with hr at,2:00pm,
Set up a one-on-one on June 23 at 6:00am,Set up a one-on-one,6:00am,June 23
Meet with HR at 10:15am,Meet with hr at,10:15am,
Prepare slides for the presentation on May 22,Prepare slides for the,,May 22
Prepare slides for the presentation on May 26,Prepare slides for the,,May 26
Call the client on June 20,Call the client on,,June 20
Schedule a team meeting for July 5 at 8:30am,Schedule a team meeting,8:30am,July 5
Meet with HR at 3:45pm,Meet with hr at,3:45pm,
Send the invoice on July 19,Send the invoice on,,July 19
Schedule a team meeting for June 2 at 2:15pm,Schedule a team meeting,2:15pm,June 2
Finish the budget review before 6:00pm,Finish the budget review,6:00pm,
Set up a one-on-one on July 10 at 3:15pm,Set up a one-on-one,3:15pm,July 10
Schedule a team meeting for July 16 at 9:45pm,Schedule a team meeting,9:45pm,July 16
Send the invoice on July 12,Send the invoice on,,July 12
Prepare slides for the presentation on June 17,Prepare slides for the,,June 17
Schedule a team meeting for July 17 at 5:30pm,Schedule a team meeting,5:30pm,July 17
Submit the quarterly report by 8:15pm,Submit the quarterly report,8:15pm,
I need to review my applications at 2:45pm,I need to review,2:45pm,
Set up a one-on-one on May 22 at 5:45pm,Set up a one-on-one,5:45pm,May 22
Submit the quarterly report by 11:30am,Submit the quarterly report,11:30am,
Call the client on May 25,Call the client on,,May 25
Schedule a team meeting for May 30 at 5:30pm,Schedule a team meeting,5:30pm,May 30
Prepare slides for the presentation on June 10,Prepare slides for the,,June 10
I need to review my applications at 4:15pm,I need to review,4:15pm,
Set up a one-on-one on June 25 at 4:15pm,Set up a one-on-one,4:15pm,June 25
Submit the quarterly report by 6:30pm,Submit the quarterly report,6:30pm,
Schedule a team meeting for June 25 at 12:00pm,Schedule a team meeting,12:00pm,June 25
Finish the budget review before 8:45am,Finish the budget review,8:45am,
Check email updates around 4:30pm,Check email updates around,4:30pm,
Schedule a team meeting for June 21 at 7:45am,Schedule a team meeting,7:45am,June 21
I need to review my applications at 2:45pm,I need to review,2:45pm,
Submit the quarterly report by 8:15pm,Submit the quarterly report,8:15pm,
Prepare slides for the presentation on June 26,Prepare slides for the,,June 26
I need to review my applications at 3:00pm,I need to review,3:00pm,
Set up a one-on-one on June 8 at 6:45am,Set up a one-on-one,6:45am,June 8
Call the client on July 17,Call the client on,,July 17
Meet with HR at 7:30am,Meet with hr at,7:30am,
I need to review my applications at 8:45am,I need to review,8:45am,
Check email updates around 3:30pm,Check email updates around,3:30pm,
Prepare slides for the presentation on June 25,Prepare slides for the,,June 25
Prepare slides for the presentation on June 15,Prepare slides for the,,June 15
Finish the budget review before 8:45pm,Finish the budget review,8:45pm,
Submit the quarterly report by 5:00pm,Submit the quarterly report,5:00pm,
Schedule a team meeting for May 29 at 7:00am,Schedule a team meeting,7:00am,May 29
Submit the quarterly report by 4:45pm,Submit the quarterly report,4:45pm,
Call the client on July 6,Call the client on,,July 6
Prepare slides for the presentation on June 6,Prepare slides for the,,June 6
I need to review my applications at 9:00am,I need to review,9:00am,
Finish the budget review before 8:30am,Finish the budget review,8:30am,
Set up a one-on-one on July 4 at 6:30pm,Set up a one-on-one,6:30pm,July 4
Call the client on May 28,Call the client on,,May 28
Call the client on July 8,Call the client on,,July 8
Set up a one-on-one on July 2 at 7:45pm,Set up a one-on-one,7:45pm,July 2
Submit the quarterly report by 1:45pm,Submit the quarterly report,1:45pm,
Send the invoice on July 9,Send the invoice on,,July 9
Send the invoice on June 6,Send the invoice on,,June 6
Finish the budget review before 8:30am,Finish the budget review,8:30am,
Schedule a team meeting for May 25 at 12:00pm,Schedule a team meeting,12:00pm,May 25
Send the invoice on May 21,Send the invoice on,,May 21
Schedule a team meeting for June 2 at 8:45pm,Schedule a team meeting,8:45pm,June 2
Send the invoice on June 3,Send the invoice on,,June 3
Set up a one-on-one on July 5 at 4:30pm,Set up a one-on-one,4:30pm,July 5
Send the invoice on July 18,Send the invoice on,,July 18
Call the client on June 14,Call the client on,,June 14
Send the invoice on June 2,Send the invoice on,,June 2
Submit the quarterly report by 2:45pm,Submit the quarterly report,2:45pm,
Finish the budget review before 9:15am,Finish the budget review,9:15am,
Submit the quarterly report by 9:15am,Submit the quarterly report,9:15am,
Send the invoice on May 22,Send the invoice on,,May 22
Send the invoice on June 6,Send the invoice on,,June 6
Submit the quarterly report by 8:30am,Submit the quarterly report,8:30am,
Schedule a team meeting for June 22 at 10:45am,Schedule a team meeting,10:45am,June 22
Check email updates around 4:00pm,Check email updates around,4:00pm,
Finish the budget review before 5:00pm,Finish the budget review,5:00pm,
Check email updates around 7:15pm,Check email updates around,7:15pm,
Schedule a team meeting for June 28 at 6:15pm,Schedule a team meeting,6:15pm,June 28
Finish the budget review before 9:45pm,Finish the budget review,9:45pm,
I need to review my applications at 1:00pm,I need to review,1:00pm,
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Finish the budget review before 1:00pm,Finish the budget review,1:00pm,
Submit the quarterly report by 2:15pm,Submit the quarterly report,2:15pm,
Set up a one-on-one on June 15 at 6:45pm,Set up a one-on-one,6:45pm,June 15
Submit the quarterly report by 1:30pm,Submit the quarterly report,1:30pm,
Schedule a team meeting for June 12 at 11:15am,Schedule a team meeting,11:15am,June 12
Finish the budget review before 3:00pm,Finish the budget review,3:00pm,
Call the client on July 14,Call the client on,,July 14
Schedule a team meeting for July 3 at 11:30am,Schedule a team meeting,11:30am,July 3
Submit the quarterly report by 11:15am,Submit the quarterly report,11:15am,
Send the invoice on July 2,Send the invoice on,,July 2
Send the invoice on May 22,Send the invoice on,,May 22
Call the client on May 31,Call the client on,,May 31
I need to review my applications at 5:45pm,I need to review,5:45pm,
I need to review my applications at 9:15pm,I need to review,9:15pm,
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Finish the budget review before 1:15pm,Finish the budget review,1:15pm,
Call the client on June 9,Call the client on,,June 9
Prepare slides for the presentation on July 7,Prepare slides for the,,July 7
Prepare slides for the presentation on June 6,Prepare slides for the,,June 6
Prepare slides for the presentation on July 12,Prepare slides for the,,July 12
Prepare slides for the presentation on July 17,Prepare slides for the,,July 17
Meet with HR at 9:00pm,Meet with hr at,9:00pm,
Meet with HR at 6:15am,Meet with hr at,6:15am,
Schedule a team meeting for June 21 at 10:30am,Schedule a team meeting,10:30am,June 21
I need to review my applications at 1:45pm,I need to review,1:45pm,
Schedule a team meeting for July 18 at 8:15am,Schedule a team meeting,8:15am,July 18
Check email updates around 9:30am,Check email updates around,9:30am,
Meet with HR at 8:15pm,Meet with hr at,8:15pm,
Prepare slides for the presentation on June 27,Prepare slides for the,,June 27
Check email updates around 2:30pm,Check email updates around,2:30pm,
I need to review my applications at 4:00pm,I need to review,4:00pm,
Send the invoice on May 28,Send the invoice on,,May 28
I need to review my applications at 9:15pm,I need to review,9:15pm,
Call the client on June 9,Call the client on,,June 9
Send the invoice on July 11,Send the invoice on,,July 11
Finish the budget review before 6:45am,Finish the budget review,6:45am,
Schedule a team meeting for May 24 at 3:00pm,Schedule a team meeting,3:00pm,May 24
Send the invoice on June 17,Send the invoice on,,June 17
Prepare slides for the presentation on June 6,Prepare slides for the,,June 6
Call the client on July 10,Call the client on,,July 10
Meet with HR at 10:00am,Meet with hr at,10:00am,
Finish the budget review before 10:15am,Finish the budget review,10:15am,
Set up a one-on-one on June 4 at 8:30am,Set up a one-on-one,8:30am,June 4
I need to review my applications at 9:30pm,I need to review,9:30pm,
Check email updates around 7:45pm,Check email updates around,7:45pm,
Submit the quarterly report by 2:30pm,Submit the quarterly report,2:30pm,
Finish the budget review before 11:45am,Finish the budget review,11:45am,
Prepare slides for the presentation on June 6,Prepare slides for the,,June 6
Call the client on June 9,Call the client on,,June 9
Finish the budget review before 8:30am,Finish the budget review,8:30am,
Send the invoice on July 10,Send the invoice on,,July 10
Check email updates around 9:15am,Check email updates around,9:15am,
Send the invoice on June 19,Send the invoice on,,June 19
Prepare slides for the presentation on June 16,Prepare slides for the,,June 16
Check email updates around 8:00pm,Check email updates around,8:00pm,
Meet with HR at 6:45am,Meet with hr at,6:45am,
Call the client on June 27,Call the client on,,June 27
Meet with HR at 5:15pm,Meet with hr at,5:15pm,
Meet with HR at 3:00pm,Meet with hr at,3:00pm,
Check email updates around 10:45am,Check email updates around,10:45am,
I need to review my applications at 8:45pm,I need to review,8:45pm,
I need to review my applications at 8:00am,I need to review,8:00am,
Submit the quarterly report by 4:00pm,Submit the quarterly report,4:00pm,
Finish the budget review before 9:30pm,Finish the budget review,9:30pm,
I need to review my applications at 9:00am,I need to review,9:00am,
Schedule a team meeting for May 29 at 10:45am,Schedule a team meeting,10:45am,May 29
Schedule a team meeting for June 30 at 10:30am,Schedule a team meeting,10:30am,June 30
Finish the budget review before 6:45am,Finish the budget review,6:45am,
Schedule a team meeting for May 21 at 9:00am,Schedule a team meeting,9:00am,May 21
Call the client on June 5,Call the client on,,June 5
Schedule a team meeting for May 22 at 9:45am,Schedule a team meeting,9:45am,May 22
Meet with HR at 8:45pm,Meet with hr at,8:45pm,
Submit the quarterly report by 3:45pm,Submit the quarterly report,3:45pm,
Call the client on July 12,Call the client on,,July 12
Set up a one-on-one on June 17 at 8:00pm,Set up a one-on-one,8:00pm,June 17
Call the client on May 30,Call the client on,,May 30
Schedule a team meeting for June 20 at 11:15am,Schedule a team meeting,11:15am,June 20
Send the invoice on July 2,Send the invoice on,,July 2
Submit the quarterly report by 9:30pm,Submit the quarterly report,9:30pm,
Finish the budget review before 6:45pm,Finish the budget review,6:45pm,
Submit the quarterly report by 8:45pm,Submit the quarterly report,8:45pm,
Check email updates around 10:00am,Check email updates around,10:00am,
Send the invoice on May 21,Send the invoice on,,May 21
Set up a one-on-one on July 1 at 3:00pm,Set up a one-on-one,3:00pm,July 1
Set up a one-on-one on July 18 at 8:00pm,Set up a one-on-one,8:00pm,July 18
Prepare slides for the presentation on July 16,Prepare slides for the,,July 16
Send the invoice on May 31,Send the invoice on,,May 31
Prepare slides for the presentation on July 17,Prepare slides for the,,July 17
Meet with HR at 6:00pm,Meet with hr at,6:00pm,
Call the client on June 19,Call the client on,,June 19
Call the client on July 19,Call the client on,,July 19
Check email updates around 8:45am,Check email updates around,8:45am,
Send the invoice on May 29,Send the invoice on,,May 29
Prepare slides for the presentation on May 25,Prepare slides for the,,May 25
I need to review my applications at 6:15am,I need to review,6:15am,
Submit the quarterly report by 9:45am,Submit the quarterly report,9:45am,
Send the invoice on July 9,Send the invoice on,,July 9
Schedule a team meeting for July 6 at 9:15am,Schedule a team meeting,9:15am,July 6
Check email updates around 7:00pm,Check email updates around,7:00pm,
Set up a one-on-one on May 23 at 2:00pm,Set up a one-on-one,2:00pm,May 23
Submit the quarterly report by 8:30pm,Submit the quarterly report,8:30pm,
I need to review my applications at 11:30am,I need to review,11:30am,
Send the invoice on June 30,Send the invoice on,,June 30
